;random sample of disease genes;LCC of random disease genes;LCC size of random disease genes
472;[718, 3082, 54800, 222546, 6499, 6007, 4125, 79882, 3575, 51134, 8518, 7003, 164, 22800, 6452, 10564, 2812, 51750, 4323, 2492, 3251, 79693, 4513, 4841, 63924, 3566, 10625, 8864, 811, 6687, 112744, 1291, 54532, 5833, 3208, 6472, 54970, 4927, 5144, 5236, 55704, 6620, 56947, 5888, 64359, 818, 123606, 2690, 6768, 90523, 113246, 22909, 3931, 1802, 6901, 254394, 8884, 79853, 4645, 3455, 5096, 8318, 88, 285440, 5297, 22858, 4644, 51062, 339983, 4921, 60681, 5689, 84905, 1535, 84909, 84172, 4308, 55650, 8022, 931, 5251, 27329, 5447, 131377, 165, 3990, 51778, 23646, 54517];[5689, 818, 8022];3
473;[116442, 91452, 7716, 24, 3709, 6809, 23554, 3889, 118987, 64135, 6812, 778, 3675, 9496, 54949, 1629, 55779, 148789, 3781, 2673, 10456, 931, 1027, 501, 26090, 57538, 1130, 1910, 1261, 10528, 157657, 8284, 8291, 201595, 6091, 56155, 29123, 3658, 7168, 4514, 65062, 4128, 125336, 5071, 11141, 3752, 112858, 3949, 81848, 196, 10585, 5879, 55599, 362, 8021, 10577, 4726, 27327, 26960, 4312, 79143, 5052, 114928, 55252, 55719, 10046, 317719, 388552, 64837, 5518, 4163, 9455, 54664, 134218, 790, 22871, 58499, 348980, 93587, 10269, 90665, 84146, 200931, 6844, 4751, 51067, 92609, 256297, 8815];[81848, 4514, 5071, 5879];4
474;[587, 79633, 54970, 518, 5236, 55012, 3594, 1063, 23268, 22926, 6016, 5575, 9681, 185, 1892, 23600, 1353, 402381, 5274, 6533, 23133, 3426, 5071, 9829, 51412, 4901, 5148, 729920, 5962, 10347, 3932, 57165, 6097, 80746, 6337, 2193, 26128, 5321, 2992, 2717, 23218, 224, 79728, 8419, 1410, 729238, 83696, 4773, 2177, 695, 26154, 27229, 1356, 5824, 8653, 3043, 5995, 2770, 23417, 2038, 6809, 6311, 170691, 2979, 51776, 3073, 4285, 282809, 55690, 10046, 5251, 55628, 6928, 51075, 2313, 84172, 8671, 388753, 84695, 3778, 51362, 51256, 53405, 6548, 9373, 388389, 5395, 81887, 125150];[26128, 5995, 6311];3
475;[3858, 348, 8996, 2530, 4591, 56704, 3658, 9381, 1277, 5604, 3614, 3082, 6786, 1829, 29958, 2639, 8924, 403, 10324, 5770, 58484, 7293, 54828, 26153, 80832, 4998, 3851, 1650, 51434, 2737, 4318, 5133, 11107, 6469, 4846, 9531, 11014, 27161, 1300, 7204, 23499, 1062, 2108, 3073, 6228, 55250, 29775, 8556, 1663, 92345, 5702, 26047, 25782, 1674, 23064, 1063, 26058, 10397, 10297, 51741, 51128, 4582, 92335, 9928, 8632, 10841, 10111, 55325, 9445, 23327, 4035, 217, 147138, 6935, 116085, 23030, 4548, 10785, 51244, 114803, 23512, 113189, 4016, 2200, 1075, 1893, 90417, 5298, 353];[4035, 4846, 2639, 348, 51741];5
476;[79029, 9419, 5949, 10644, 115650, 5255, 85358, 6884, 9653, 31, 1013, 501, 80776, 9578, 4193, 64518, 6925, 4700, 2555, 122402, 55739, 4653, 284439, 51341, 7291, 1729, 9693, 23067, 8879, 84947, 10667, 718, 284382, 4001, 27068, 2893, 4715, 1639, 844, 1545, 7358, 8312, 2590, 129285, 5256, 1956, 3190, 23639, 84668, 2664, 59345, 51134, 91949, 3921, 889, 11277, 22872, 727857, 4998, 8481, 2566, 51693, 5361, 5096, 51013, 11055, 116150, 55621, 1857, 11019, 50, 84896, 7957, 6103, 55791, 22909, 8914, 200734, 84522, 79633, 5479, 348980, 9939, 2273, 1041, 7352, 22845, 6528, 10395];[4193, 2555, 2566, 5479];4
477;[5298, 7849, 25885, 3075, 5314, 55154, 5663, 23096, 10749, 6391, 1513, 9377, 7174, 157657, 10617, 25, 6007, 7415, 338917, 401, 54880, 51807, 83550, 7703, 2313, 1355, 1305, 5271, 8462, 2683, 85440, 10555, 91147, 5034, 79784, 3455, 5784, 6756, 6892, 4589, 841, 81562, 3251, 5880, 4148, 4607, 6898, 56479, 6711, 2259, 55526, 57623, 10205, 9607, 146059, 2290, 22845, 54084, 92749, 54903, 6263, 9152, 118924, 3835, 3784, 90167, 51082, 115948, 6334, 346171, 29110, 80320, 51124, 51134, 6708, 3718, 83938, 10436, 57520, 3547, 8942, 64601, 144811, 4088, 781, 2255, 285590, 5624, 112744];[4088, 2313, 3075];3
478;[2556, 4023, 112755, 1073, 6555, 388389, 8729, 171023, 114902, 2188, 9690, 3553, 79048, 2324, 8820, 59341, 6557, 128866, 2705, 2898, 3181, 30817, 71, 4644, 344018, 92749, 60561, 3753, 65018, 54476, 9702, 10522, 54796, 122622, 57017, 8328, 9499, 6622, 92345, 57216, 5159, 25793, 169522, 3665, 3892, 4726, 7355, 50619, 84695, 335, 253738, 54790, 9051, 8795, 224, 6720, 23426, 30000, 1063, 64321, 970, 389207, 116369, 10644, 25885, 539, 1674, 144406, 6620, 54941, 203, 22948, 51341, 54517, 1213, 2184, 5566, 10383, 84662, 79770, 6469, 83605, 7021, 339829, 1299, 23414, 25790, 348938, 6299];[8328, 60561, 9051];3
479;[9509, 153201, 3295, 641, 7555, 1508, 6785, 779, 2322, 823, 200894, 9342, 2138, 20, 5015, 4306, 23218, 2776, 22866, 4774, 203, 1482, 79581, 2917, 8482, 311, 5053, 5568, 5296, 79053, 974, 10, 977, 63899, 51750, 1421, 1080, 4643, 23090, 55719, 10395, 55656, 144245, 1727, 10559, 116519, 157680, 388753, 6473, 7498, 701, 51259, 1106, 833, 5546, 7341, 51399, 347734, 2348, 114798, 83544, 8540, 5310, 55733, 23247, 5298, 8891, 8898, 2070, 4487, 196, 378884, 55033, 7358, 6334, 2688, 4351, 2622, 8490, 587, 8694, 25802, 79798, 558, 2752, 5189, 10026, 4645, 246329];[1080, 823, 558, 4351];4
480;[89891, 4149, 8720, 3939, 6833, 56616, 9524, 348938, 22931, 781, 23152, 2299, 5627, 84665, 2591, 65125, 79576, 5914, 246243, 164, 3796, 16, 55505, 54476, 1121, 7123, 64802, 1374, 8289, 6094, 8086, 4791, 5378, 5700, 7170, 170302, 3756, 1857, 3211, 84876, 64218, 695, 347733, 23639, 9094, 27086, 6201, 1476, 2162, 5274, 6712, 4638, 80832, 1182, 54982, 10771, 5782, 56203, 64858, 9969, 558, 6532, 445, 1824, 5589, 83879, 7401, 80155, 4897, 1175, 2253, 9439, 1436, 57190, 3021, 54, 6949, 57514, 55689, 84153, 121214, 1140, 11236, 1267, 3029, 11019, 282809, 7086, 22806];[9969, 9439];2
481;[22868, 83938, 4709, 29925, 440275, 9897, 919, 91647, 64065, 1816, 7852, 7086, 26058, 2893, 2548, 1748, 4508, 54345, 2257, 11284, 152110, 26960, 3949, 23031, 2622, 7473, 7389, 3032, 9993, 3800, 3857, 476, 23250, 81848, 128866, 2055, 5073, 5193, 54517, 64377, 5255, 64321, 773, 129685, 3767, 51109, 1617, 7384, 4487, 1353, 79925, 9380, 4838, 51660, 3040, 161582, 90523, 10804, 283652, 2302, 80155, 4784, 6455, 51780, 6904, 50943, 10659, 7784, 3575, 8456, 1413, 56244, 4915, 676, 24148, 3832, 5981, 8626, 51434, 55714, 10568, 6041, 10093, 146057, 3728, 4140, 57459, 845, 5932];[11284, 2622];2
482;[8675, 10345, 253827, 5896, 7385, 63924, 6532, 23396, 25814, 9095, 210, 1748, 2201, 55714, 79879, 10908, 4035, 6017, 54828, 55505, 85440, 84896, 2517, 6305, 80254, 25953, 6571, 4646, 96459, 1742, 3192, 5133, 64834, 200931, 80144, 203, 3746, 8425, 84433, 10060, 92335, 55863, 1291, 5587, 5332, 5966, 6821, 2622, 212, 340419, 112744, 9474, 11023, 8405, 50619, 1719, 4633, 8567, 23435, 197258, 51726, 5213, 10020, 55131, 3665, 249, 2000, 6550, 22806, 8722, 55340, 8647, 7508, 400916, 79728, 3566, 26040, 5378, 8787, 84984, 8898, 9368, 84947, 3710, 23432, 2549, 51702, 8540, 26012];[253827, 6821, 5966, 5332, 51702, 22806, 84984, 50619];8
483;[2258, 1537, 2783, 610, 9289, 1187, 27068, 6886, 285025, 2162, 5781, 2120, 92211, 6049, 1385, 26284, 1415, 7780, 9451, 8504, 5274, 3055, 841, 9493, 5328, 9894, 149461, 9381, 4751, 51649, 8659, 3953, 799, 6792, 10466, 23370, 22872, 54443, 7399, 7737, 114798, 4153, 64135, 81027, 3479, 3192, 212, 1056, 59067, 6584, 83959, 84876, 5978, 8915, 9496, 4644, 23426, 3418, 54903, 4677, 163183, 2266, 3851, 29089, 84946, 402, 114928, 24148, 4070, 54517, 4284, 57152, 7862, 6928, 11020, 8913, 29887, 3553, 25828, 57716, 84868, 919, 6356, 161742, 196385, 81839, 126326, 50485, 1294];[29089, 161742, 2783];3
484;[6135, 654, 83706, 396, 125988, 8913, 23155, 6809, 1678, 152926, 5245, 3835, 63910, 9690, 5213, 113246, 2773, 3426, 51085, 27232, 374291, 4882, 3972, 2992, 55145, 4285, 4001, 1182, 6442, 136371, 9820, 3236, 146057, 8701, 5257, 80781, 84529, 3851, 56922, 7535, 2801, 23397, 8890, 8295, 2548, 56172, 56947, 5075, 91574, 1284, 4835, 164656, 9499, 3135, 2254, 6840, 4921, 6609, 3514, 23162, 10841, 374407, 80736, 57190, 3954, 6334, 3658, 8506, 256297, 8106, 8738, 1604, 3459, 1773, 9211, 55755, 1183, 2632, 27241, 22930, 120, 80746, 5296, 11198, 4952, 53335, 153562, 1291, 1415];[5296, 2801, 9690];3
485;[92840, 8991, 83990, 29928, 51095, 7053, 55621, 64376, 10845, 10049, 197322, 57055, 2563, 595, 132158, 284654, 1374, 1412, 84140, 958, 5244, 6900, 10641, 7038, 64072, 355, 83987, 1121, 10312, 9842, 9653, 8092, 91662, 987, 11236, 3785, 80169, 4634, 116442, 5281, 439, 7170, 7040, 51117, 84617, 80705, 3991, 3431, 6597, 112858, 2705, 84464, 8036, 57104, 5813, 326, 2538, 51103, 23387, 10584, 25885, 60468, 7528, 29968, 86614, 1716, 545, 9378, 2488, 9333, 861, 7468, 79955, 57591, 875, 71, 112817, 210, 1910, 5080, 8863, 84515, 6658, 282996, 10379, 8818, 8243, 51135, 23389];[80705, 84140, 60468];3
486;[1954, 9894, 100506658, 54532, 29968, 10806, 79147, 359948, 23395, 9101, 340024, 3661, 998, 5311, 1019, 7305, 4221, 27148, 8924, 1292, 2645, 3229, 8443, 3651, 64321, 7957, 2050, 6716, 8239, 1776, 3717, 51126, 51750, 27316, 4478, 5144, 23530, 54936, 3572, 3759, 3431, 134218, 5745, 443, 285025, 72, 51083, 3854, 7512, 57338, 6777, 55240, 3198, 54, 3293, 7293, 79971, 920, 116442, 1639, 1305, 7074, 5956, 1824, 440193, 10084, 9343, 54476, 4015, 55191, 136647, 221496, 401138, 57680, 2617, 5283, 23090, 89869, 199720, 547, 80169, 10747, 23268, 256297, 2271, 51218, 93627, 114798, 8632];[7074, 23268, 998, 8239, 8924];5
487;[6868, 6334, 51142, 1938, 199221, 2591, 60561, 353238, 5837, 58484, 115650, 83394, 23581, 7036, 1387, 2263, 23512, 6135, 1303, 7750, 2673, 3557, 3659, 3861, 8493, 55191, 23209, 351, 5148, 93649, 1351, 1073, 51181, 81555, 4140, 1289, 8288, 4254, 26007, 26511, 8647, 84188, 51520, 6598, 3516, 6901, 4626, 8547, 23154, 23545, 3020, 2213, 8443, 6821, 22926, 6658, 2628, 1777, 10664, 64376, 8787, 5091, 142680, 3612, 587, 6709, 57697, 1816, 27031, 324, 4893, 27130, 57104, 4522, 85021, 54, 2780, 6392, 84667, 6885, 2741, 92154, 9409, 63899, 2010, 56704, 3717, 29957, 10907];[324, 7750, 10664, 1387, 1938, 6709, 3861, 23512, 351];9
488;[6844, 171019, 6334, 4594, 10461, 23600, 4254, 55806, 4094, 84868, 242, 10203, 2055, 285489, 351, 114803, 146227, 5236, 2746, 150094, 3889, 84153, 2100, 51004, 8013, 126326, 199221, 23384, 54681, 5825, 5307, 3835, 4478, 54499, 122553, 136647, 2590, 3021, 23241, 7879, 5149, 3911, 27245, 90665, 3078, 1950, 4784, 8604, 7175, 6607, 27031, 646, 2664, 7535, 1363, 50846, 2743, 116150, 54344, 1825, 5459, 1893, 2622, 9368, 60558, 63925, 55275, 64116, 1029, 728294, 6165, 5660, 8943, 2271, 28981, 2202, 785, 4942, 2257, 8647, 23193, 80347, 582, 847, 54872, 255101, 144811, 3860, 54928];[5825, 144811, 4942, 847, 5660, 351];6
489;[80320, 6448, 116150, 673, 8438, 26960, 6418, 10290, 7490, 55149, 1482, 4841, 6886, 6687, 128, 8301, 6709, 4308, 9419, 9570, 7134, 1337, 4205, 4284, 51013, 5311, 6234, 137814, 23558, 54, 6010, 4486, 4869, 93210, 1460, 6616, 1308, 8291, 4233, 5009, 3394, 831, 10142, 51196, 89869, 3594, 79158, 1767, 8787, 5422, 118, 84065, 538, 1717, 57176, 1559, 2056, 54443, 4337, 3273, 8382, 2213, 2188, 3596, 11160, 7289, 8893, 84617, 8542, 7020, 7436, 170302, 79728, 3737, 51506, 267012, 95681, 4634, 2815, 7086, 345611, 79648, 5770, 51199, 200894, 1814, 89765, 2395, 20];[128, 4869, 7020, 89869, 1460, 118];6
490;[23404, 224, 8869, 8642, 340024, 7054, 5345, 440193, 23530, 3460, 11152, 1290, 116461, 55624, 771, 5881, 8092, 4359, 203228, 80173, 3703, 93233, 3661, 5994, 7466, 8048, 3913, 10463, 11107, 6572, 3918, 4720, 6506, 9227, 91662, 5940, 4438, 5290, 84894, 84667, 84816, 6620, 5333, 2624, 3932, 4125, 10084, 2271, 84081, 10319, 127534, 22872, 9354, 22909, 4646, 23219, 5788, 23126, 9289, 285489, 1482, 24, 4514, 57459, 200576, 23279, 5159, 10329, 2703, 129685, 9180, 55904, 8289, 84892, 219972, 1050, 7068, 335, 3549, 282809, 9325, 8284, 80114, 64093, 1075, 122553, 64065, 9627, 80153];[2624, 64065, 55624, 7466, 3703, 10329];6
491;[340024, 55331, 11019, 23219, 5015, 50485, 1337, 7841, 10916, 3746, 374354, 3329, 55229, 10785, 10845, 64087, 217, 84695, 114928, 8560, 286204, 8772, 10801, 6663, 3918, 1981, 10586, 324, 2673, 7809, 79029, 4694, 3911, 3640, 4643, 56975, 8557, 56729, 93183, 4882, 27089, 7849, 125170, 7474, 6491, 29980, 54499, 2979, 51645, 4713, 55975, 2182, 51124, 387733, 10661, 63035, 122402, 54903, 57158, 6334, 57190, 89876, 1302, 3818, 6472, 402, 10463, 5076, 22948, 3785, 3659, 27030, 8287, 91179, 55898, 4693, 54476, 473, 64218, 1910, 57187, 55151, 55275, 157657, 388698, 57591, 1137, 137492, 317719];[3329, 8772, 217];3
492;[10682, 3458, 90268, 5567, 1794, 2064, 57709, 9255, 731, 55656, 23204, 51574, 523, 22871, 10806, 57057, 22978, 9699, 6938, 55764, 3098, 8974, 26511, 5296, 11160, 4659, 5133, 3814, 72, 4342, 10093, 7174, 88, 4638, 27245, 3892, 2255, 51021, 3909, 8726, 139285, 4715, 6773, 1781, 8733, 51728, 2318, 5830, 11023, 7507, 30813, 2034, 23111, 79048, 2556, 25788, 80173, 54790, 1468, 11340, 5965, 7051, 2736, 4915, 57670, 3299, 23746, 54834, 9211, 9508, 5318, 7134, 197258, 3074, 4627, 37, 8989, 5593, 7466, 25782, 1814, 10907, 2778, 326625, 144811, 6535, 79955, 8295, 1105];[2064, 4915, 5296];3
493;[10878, 5994, 5624, 3119, 93627, 23001, 59336, 5995, 1491, 5160, 4437, 23036, 7019, 286464, 6448, 137492, 593, 92002, 54453, 1188, 51729, 7337, 51086, 3547, 2192, 59, 23118, 720, 4179, 3208, 1967, 51021, 5293, 1021, 254428, 5631, 1272, 1738, 55340, 22858, 5297, 7535, 64093, 2997, 9871, 6857, 9076, 79816, 51475, 55526, 2108, 3329, 340719, 132884, 25821, 57492, 23233, 9419, 23400, 4534, 1297, 60, 5618, 254394, 92211, 3977, 2898, 8557, 57724, 3064, 88, 285203, 6872, 1441, 51294, 6662, 56947, 4221, 79798, 23581, 5589, 987, 8974, 6873, 54902, 3658, 2235, 55870, 9620];[3329, 5160, 23400, 1738, 8557, 60, 6872, 1967, 2898, 137492, 54902, 3064, 88, 2108, 5631];15
494;[5034, 4703, 4342, 25981, 92667, 123606, 2186, 283652, 5167, 990, 50484, 3425, 4536, 8913, 9427, 6340, 8092, 6530, 3514, 1496, 1769, 1316, 64423, 51428, 3043, 51567, 10715, 79846, 197322, 84987, 9440, 23310, 60528, 55628, 8754, 2811, 3910, 200162, 196385, 84957, 26005, 4043, 2978, 1387, 2212, 4087, 2239, 6566, 57545, 89765, 1410, 124590, 1830, 3211, 7086, 3759, 55750, 1073, 90167, 207, 7037, 3710, 3419, 11152, 51132, 1747, 1284, 5626, 5800, 3575, 29914, 9725, 6529, 2531, 2626, 7436, 7137, 5081, 130951, 64864, 79633, 92255, 4351, 1200, 5161, 4361, 51294, 285, 6567];[1387, 7436, 4043, 207, 4087];5
495;[23761, 5917, 10049, 91574, 79813, 2258, 55012, 6785, 79574, 861, 189, 3340, 400916, 1314, 6505, 4123, 3198, 84942, 126695, 56171, 8493, 5422, 10785, 493753, 1066, 1674, 10659, 11020, 931, 55213, 84466, 4190, 9479, 57609, 1474, 151648, 64374, 91754, 114928, 64864, 10134, 3897, 84033, 6774, 145226, 7046, 79641, 843, 27429, 3736, 9427, 54567, 4869, 5076, 9894, 25974, 1457, 2627, 93986, 708, 8402, 7078, 284098, 27130, 10758, 8803, 6197, 10992, 8974, 6092, 2591, 4478, 26092, 1644, 1421, 7414, 1462, 2688, 8883, 79659, 593, 1285, 23503, 4175, 5594, 2735, 56910, 4093, 79846];[8402, 3340, 1314, 861];4
496;[55775, 5582, 253827, 11146, 1308, 116150, 9657, 254528, 546, 154288, 23321, 147183, 7038, 9289, 6155, 10253, 4038, 10280, 8912, 286262, 5224, 83872, 6885, 55572, 5965, 1103, 2263, 9060, 9907, 427, 7225, 51112, 113220, 57520, 5995, 54931, 5836, 55823, 5506, 1509, 1071, 5321, 63932, 7273, 79882, 4796, 633, 9620, 8364, 818, 3588, 311, 23230, 79650, 1497, 8621, 55275, 26057, 54704, 84131, 51319, 81562, 93426, 3703, 55806, 55152, 55699, 8720, 875, 64321, 130557, 1938, 150274, 4846, 26160, 55967, 7512, 7701, 54551, 2324, 114803, 9333, 57096, 9075, 7337, 1742, 659, 9681, 83987];[5995, 1103, 55823];3
497;[23112, 6045, 2784, 4160, 2752, 6567, 8260, 6795, 23405, 2048, 83894, 2582, 23321, 10716, 9723, 1828, 2780, 6844, 4849, 5133, 2517, 63925, 871, 4722, 3043, 948, 8195, 2747, 3570, 5447, 23126, 3596, 1589, 701, 4851, 4697, 10382, 4702, 3875, 3921, 89876, 7139, 27125, 51013, 8911, 4653, 84628, 5837, 11231, 169522, 6338, 91662, 1028, 54205, 26092, 8204, 87, 22880, 387119, 7337, 3162, 6708, 81794, 2138, 55605, 374291, 182, 9394, 60681, 112744, 153241, 5582, 400916, 3588, 2027, 54101, 4790, 717, 4547, 5830, 51021, 51702, 2248, 5339, 6554, 203, 6597, 2258, 5624];[2752, 23112, 4790, 91662];4
498;[79641, 57560, 3097, 8473, 3586, 55074, 26960, 196385, 4689, 374291, 199713, 401138, 23209, 6138, 3569, 83990, 23767, 54675, 4905, 6326, 1108, 10491, 23279, 10464, 4853, 5000, 2266, 54938, 4151, 26275, 83700, 10999, 7157, 10584, 1641, 28982, 5138, 10815, 8772, 65062, 1293, 2010, 3290, 3107, 3953, 2516, 1824, 84196, 2904, 6310, 4092, 9699, 84131, 55655, 7297, 352909, 6389, 57158, 28981, 10280, 117531, 6928, 5621, 4704, 9056, 7287, 11107, 89765, 6573, 6655, 1947, 2200, 4982, 5826, 3977, 4478, 7480, 3340, 26999, 1830, 5728, 255928, 2322, 128869, 8660, 4137, 4920, 112744, 85476];[3097, 6389, 89765];3
499;[51075, 3417, 80144, 4791, 51114, 1725, 92609, 51776, 2475, 1497, 29894, 1909, 6439, 2896, 6663, 7306, 2187, 9512, 631, 22859, 30000, 8625, 4705, 5551, 283987, 23193, 486, 115948, 3371, 4072, 378884, 80169, 133396, 6868, 4747, 2664, 25814, 2186, 6234, 403, 2705, 5449, 27152, 3612, 4158, 2147, 51079, 493856, 352909, 122402, 57609, 26523, 1499, 2549, 6599, 5396, 25, 57038, 5689, 51763, 89876, 55835, 84705, 9739, 2177, 2892, 79048, 25794, 55157, 3135, 9364, 10526, 4038, 55863, 1503, 5692, 1286, 64834, 79068, 7852, 2651, 9333, 4214, 22948, 54704, 4194, 1071, 10533, 6229];[5689, 5692];2
500;[10558, 10686, 55249, 57654, 6204, 285590, 5644, 79876, 38, 2260, 2677, 6295, 2232, 54496, 57338, 3329, 9380, 317719, 6297, 3778, 1385, 126792, 547, 3868, 79068, 1778, 3758, 7386, 23479, 7222, 8625, 6609, 610, 5071, 128486, 64094, 149371, 55650, 8546, 4261, 26012, 131669, 8106, 1829, 8733, 54928, 2982, 57498, 90522, 10379, 54413, 10253, 3043, 1474, 23446, 1747, 4728, 10083, 1969, 83861, 9568, 7253, 125, 151254, 8022, 7248, 375056, 6507, 84317, 23389, 5351, 7201, 79882, 81624, 79158, 112817, 9829, 778, 84833, 51013, 79728, 4953, 3315, 93587, 25782, 6843, 85446, 2895, 54822];[7248, 3315, 83861];3
501;[4935, 54941, 6341, 2627, 132158, 5826, 7401, 29895, 55750, 7837, 9364, 3073, 8925, 9790, 5538, 79068, 7036, 51134, 51181, 7276, 29089, 9342, 51343, 10892, 3594, 55806, 7050, 1893, 27030, 27152, 147007, 348980, 79947, 63931, 92482, 118, 5917, 7289, 10216, 147183, 63035, 3078, 5375, 81607, 55689, 55036, 84340, 23495, 1287, 6144, 256297, 6575, 51128, 116519, 5378, 6507, 4715, 5663, 5728, 63908, 3560, 5831, 80222, 1411, 6772, 920, 88, 10841, 6757, 25974, 8241, 5009, 5184, 721, 1559, 6310, 10059, 6327, 5156, 3181, 5111, 1738, 3000, 10084, 10060, 57055, 1822, 2746, 79581];[5184, 10084, 63908, 6310, 9342, 57055];6
502;[93587, 4151, 84946, 79813, 5805, 199223, 859, 3899, 114798, 84033, 57680, 2312, 144245, 2038, 3482, 8912, 1376, 1027, 1123, 11043, 54187, 7407, 284111, 93, 2077, 55209, 5294, 7019, 23498, 137814, 3172, 170825, 9091, 203286, 3945, 5654, 26191, 60676, 340024, 7780, 8468, 4854, 1687, 645104, 3554, 4047, 7401, 6444, 5189, 5192, 4478, 9885, 56603, 10982, 55151, 11235, 2548, 25839, 388698, 10484, 5618, 367, 3614, 4222, 1650, 8050, 776, 54538, 55081, 6092, 56683, 2192, 5130, 55315, 2318, 79625, 5455, 79776, 3973, 6550, 22948, 2778, 2917, 23314, 5604, 39, 10651, 57731, 10075];[2192, 4854, 5654, 3614];4
503;[7454, 727857, 90678, 8452, 7707, 4508, 5479, 4604, 894, 25793, 9138, 3712, 8575, 9895, 6134, 7431, 3910, 3756, 10555, 51399, 23404, 6907, 27130, 1804, 55163, 55037, 1474, 440193, 8867, 6469, 2488, 147912, 55240, 8915, 284086, 6440, 8884, 3236, 137392, 55521, 27241, 3554, 6477, 29928, 79705, 22978, 165918, 5430, 84816, 9997, 9693, 3075, 8812, 644096, 7284, 83894, 83959, 10526, 26227, 372, 79977, 5528, 3937, 90993, 8924, 25794, 57798, 6341, 6690, 6785, 24148, 1439, 7056, 113278, 153, 96459, 5917, 93986, 2153, 84522, 213, 79784, 1828, 1475, 5373, 1327, 8550, 92255, 100506658];[7707, 24148, 6477, 7431];4
504;[163786, 3455, 5530, 5700, 2623, 977, 51601, 3777, 83987, 5264, 54205, 2678, 3932, 1308, 5010, 2131, 5071, 6662, 347734, 5357, 2202, 64170, 124583, 5092, 51763, 23438, 57190, 3187, 7337, 147138, 201163, 374407, 387, 64220, 9364, 3339, 4653, 55325, 55904, 6948, 23162, 1763, 3782, 7306, 84196, 3795, 84074, 27247, 2562, 1565, 7512, 57551, 27130, 54361, 5009, 3155, 2059, 9791, 64518, 9076, 3728, 2335, 91624, 23310, 5546, 8802, 8195, 23639, 284403, 23031, 284252, 11141, 55152, 4700, 126410, 1369, 7345, 10347, 9321, 10195, 4722, 57531, 5426, 81839, 3199, 8292, 7515, 5965, 1814];[4722, 3339, 2335];3
505;[150274, 9326, 54583, 130557, 90522, 6330, 3054, 23116, 5149, 5002, 55768, 1288, 4540, 51181, 57169, 253827, 5538, 286053, 57007, 6327, 51729, 55733, 1719, 6925, 5311, 645104, 1947, 5689, 7054, 9071, 4795, 283459, 55739, 50485, 4724, 4352, 3199, 675, 7204, 79977, 1513, 5506, 2954, 50814, 4935, 5824, 4728, 89891, 93627, 7056, 23511, 2783, 11231, 5430, 2906, 64699, 1181, 526, 85301, 153201, 1373, 5745, 90523, 335, 5257, 10586, 582, 3736, 24145, 64359, 8379, 64135, 51604, 6144, 54487, 10280, 6843, 9289, 10463, 54413, 57609, 5618, 351, 79846, 79770, 1302, 7092, 4036, 219972];[253827, 6925, 526];3
506;[55343, 1643, 5592, 5314, 79576, 1289, 4054, 51702, 84733, 55814, 84062, 355, 7518, 3931, 6097, 10755, 3107, 2245, 57082, 151254, 55159, 816, 6424, 54344, 54332, 63916, 55750, 64324, 4808, 1107, 26012, 79087, 8092, 6558, 9080, 4697, 8647, 431705, 89869, 3052, 23236, 7075, 148789, 1476, 7707, 93, 29887, 2736, 54974, 2131, 3690, 22800, 35, 22926, 4544, 9842, 1355, 165, 286887, 50945, 55081, 5836, 51362, 57623, 3078, 4261, 2934, 54453, 2879, 284654, 2475, 9211, 4774, 22827, 10280, 56729, 8322, 284382, 375748, 1861, 58494, 128, 8737, 136371, 56246, 23554, 4512, 64093, 676];[128, 22827, 1107, 7518];4
507;[84074, 546, 55366, 1326, 81693, 5293, 55823, 79068, 1175, 5589, 23322, 10613, 5880, 55906, 10847, 5934, 1806, 55074, 375611, 2590, 54936, 5161, 7036, 10370, 81562, 7284, 1639, 80320, 5663, 6892, 55755, 388753, 974, 4036, 153562, 117581, 6774, 81887, 118987, 221496, 7388, 1277, 23509, 9071, 25977, 1141, 356, 55262, 6606, 6857, 8831, 54790, 57716, 80210, 92840, 85366, 128, 717, 5320, 11128, 84705, 24140, 2657, 200162, 23592, 5611, 4853, 2064, 57057, 1757, 401138, 215, 2539, 78989, 7048, 477, 4909, 3047, 1769, 56479, 171019, 9719, 2670, 4285, 819, 55037, 2978, 1314, 27445];[117581, 5934, 1639];3
508;[27178, 57545, 3329, 4914, 5745, 3394, 523, 3586, 9440, 166785, 498, 4594, 27329, 3839, 2487, 2702, 991, 356, 1303, 3921, 3709, 9338, 51185, 84701, 8763, 2057, 267012, 5971, 4204, 2159, 286464, 25836, 1508, 3229, 2984, 55898, 23137, 3028, 3321, 25978, 89876, 124583, 444, 1496, 55157, 1173, 6154, 29894, 6821, 6938, 8737, 64327, 55036, 2643, 185, 11224, 55811, 54802, 4929, 128486, 54084, 23250, 10625, 3569, 55719, 81562, 80311, 79058, 7067, 676, 286887, 3419, 5002, 51132, 57551, 6533, 26353, 51807, 718, 1559, 9907, 7078, 5015, 1024, 9499, 4848, 7140, 6311, 3702];[23137, 55719];2
